Author,Audiobook Count,Book Titles,Search URL
Elizabeth Strout,6,Olive Kitteridge; My Name Is Lucy Barton; So Late in the Day; The Correspondent; The Lincoln Highway; How to Pronounce Knife,https://westerncape.overdrive.com/search?query=Elizabeth%20Strout&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Hilary Mantel,6,Giving Up the Ghost; Sovereign; Dark Fire; Dissolution; So Late in the Day; Shardlake,https://westerncape.overdrive.com/search?query=Hilary%20Mantel&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Ali Smith,5,Gliff; The Ballad of Speedball Baby; The God of Small Things; A Complicated Matter; We Do Not Part,https://westerncape.overdrive.com/search?query=Ali%20Smith&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Bernardine Evaristo,5,Between Starshine and Clay; Without Prejudice; The Last White Man; Recitatif; Assembly,https://westerncape.overdrive.com/search?query=Bernardine%20Evaristo&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Celeste Ng,5,Everything I Never Told You; Moth Smoke; Between Two Kingdoms; This Place is Still Beautiful; If I Had Your Face,https://westerncape.overdrive.com/search?query=Celeste%20Ng&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Deborah Levy,5,Cursed Bread; Gliff; We Do Not Part; The Crane Wife; If I Had Your Face,https://westerncape.overdrive.com/search?query=Deborah%20Levy&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Naomi Alderman,5,Marple; Julia; The Unfolding; The Grace Year; If I Had Your Face,https://westerncape.overdrive.com/search?query=Naomi%20Alderman&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Ann Cleeves,4,Silent Voices; Hercule Poirot's Silent Night; The Mephisto Club; Our Little Cruelties,https://westerncape.overdrive.com/search?query=Ann%20Cleeves&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Anne Enright,4,The Spinning Heart; Soldier Sailor; Old God's Time; My Name Is Lucy Barton,https://westerncape.overdrive.com/search?query=Anne%20Enright&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Jane Harper,4,Exiles; The Lost Man; The Dry; Force of Nature,https://westerncape.overdrive.com/search?query=Jane%20Harper&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Yaa Gyasi,4,Transcendent Kingdom; Without Prejudice; Small Worlds; This Place is Still Beautiful,https://westerncape.overdrive.com/search?query=Yaa%20Gyasi&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Kiley Reid,3,Two Stories; Pineapple Street; If I Had Your Face,https://westerncape.overdrive.com/search?query=Kiley%20Reid&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Tessa Hadley,3,"After the Funeral; A Complicated Matter; Oh, Sister",https://westerncape.overdrive.com/search?query=Tessa%20Hadley&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Abdulrazak Gurnah,2,Paradise; The Last Gift,https://westerncape.overdrive.com/search?query=Abdulrazak%20Gurnah&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Brit Bennett,2,Real Americans; Small Worlds,https://westerncape.overdrive.com/search?query=Brit%20Bennett&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Charlotte Brontë,2,Jane Eyre; The Tenant of Wildfell Hall,https://westerncape.overdrive.com/search?query=Charlotte%20Bront%C3%AB&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Douglas Stuart,2,Shuggie Bain; A Man and His Pride,https://westerncape.overdrive.com/search?query=Douglas%20Stuart&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Jennifer Egan,2,My Name Is Lucy Barton; Moth Smoke,https://westerncape.overdrive.com/search?query=Jennifer%20Egan&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Jonathan Franzen,2,The Unfolding; My Name Is Lucy Barton,https://westerncape.overdrive.com/search?query=Jonathan%20Franzen&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Kevin Kwan,2,Pineapple Street; Moth Smoke,https://westerncape.overdrive.com/search?query=Kevin%20Kwan&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Mohsin Hamid,2,The Last White Man; Moth Smoke,https://westerncape.overdrive.com/search?query=Mohsin%20Hamid&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Percival Everett,2,Intermezzo; Old God's Time,https://westerncape.overdrive.com/search?query=Percival%20Everett&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Sebastian Barry,2,Old God's Time; The Secret Scripture,https://westerncape.overdrive.com/search?query=Sebastian%20Barry&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Yiyun Li,2,How Not to Kill Yourself; How to Pronounce Knife,https://westerncape.overdrive.com/search?query=Yiyun%20Li&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Amy Bloom,1,White Houses,https://westerncape.overdrive.com/search?query=Amy%20Bloom&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Andrey Kurkov,1,Diary of an Invasion,https://westerncape.overdrive.com/search?query=Andrey%20Kurkov&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Anuk Arudpragasam,1,A Passage North,https://westerncape.overdrive.com/search?query=Anuk%20Arudpragasam&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Arthur Conan Doyle,1,Sherlock Holmes Collection--5 Full Audiobooks,https://westerncape.overdrive.com/search?query=Arthur%20Conan%20Doyle&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Ben Lerner,1,The Unfolding,https://westerncape.overdrive.com/search?query=Ben%20Lerner&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Chigozie Obioma,1,The Road to the Country,https://westerncape.overdrive.com/search?query=Chigozie%20Obioma&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Deborah Moggach,1,The Best Exotic Marigold Hotel,https://westerncape.overdrive.com/search?query=Deborah%20Moggach&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Donna Leon,1,A Refiner's Fire,https://westerncape.overdrive.com/search?query=Donna%20Leon&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
James Ellroy,1,Love Me Fierce In Danger,https://westerncape.overdrive.com/search?query=James%20Ellroy&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Judith Kerr,1,Stories for Summer Holidays,https://westerncape.overdrive.com/search?query=Judith%20Kerr&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Kate Atkinson,1,Romantic Comedy,https://westerncape.overdrive.com/search?query=Kate%20Atkinson&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Kate Mosse,1,Marple,https://westerncape.overdrive.com/search?query=Kate%20Mosse&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Miriam Toews,1,My Name Is Lucy Barton,https://westerncape.overdrive.com/search?query=Miriam%20Toews&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Monique Roffey,1,Soul of the Deep,https://westerncape.overdrive.com/search?query=Monique%20Roffey&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Naoise Dolan,1,If I Had Your Face,https://westerncape.overdrive.com/search?query=Naoise%20Dolan&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Ottessa Moshfegh,1,Cursed Bread,https://westerncape.overdrive.com/search?query=Ottessa%20Moshfegh&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Oyinkan Braithwaite,1,The Baby Is Mine,https://westerncape.overdrive.com/search?query=Oyinkan%20Braithwaite&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Paul Theroux,1,The Mosquito Coast,https://westerncape.overdrive.com/search?query=Paul%20Theroux&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Richard Flanagan,1,My Name Is Lucy Barton,https://westerncape.overdrive.com/search?query=Richard%20Flanagan&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Sarah Waters,1,Normal People,https://westerncape.overdrive.com/search?query=Sarah%20Waters&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
AS Byatt,0,,https://westerncape.overdrive.com/search?query=AS%20Byatt&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Alan Hollinghurst,0,,https://westerncape.overdrive.com/search?query=Alan%20Hollinghurst&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Andrea Levy,0,,https://westerncape.overdrive.com/search?query=Andrea%20Levy&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Anne Holt,0,,https://westerncape.overdrive.com/search?query=Anne%20Holt&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Antonio Muñoz Molina,0,,https://westerncape.overdrive.com/search?query=Antonio%20Mu%C3%B1oz%20Molina&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Anuradha Roy,0,,https://westerncape.overdrive.com/search?query=Anuradha%20Roy&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Audrey Niffenegger,0,,https://westerncape.overdrive.com/search?query=Audrey%20Niffenegger&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Ayelet Gundar-Goshen,0,,https://westerncape.overdrive.com/search?query=Ayelet%20Gundar-Goshen&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Bill Bryson,0,,https://westerncape.overdrive.com/search?query=Bill%20Bryson&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Bryan Washington,0,,https://westerncape.overdrive.com/search?query=Bryan%20Washington&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Burhan Sönmez,0,,https://westerncape.overdrive.com/search?query=Burhan%20S%C3%B6nmez&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Carlo Rovelli,0,,https://westerncape.overdrive.com/search?query=Carlo%20Rovelli&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Cees Nooteboom,0,,https://westerncape.overdrive.com/search?query=Cees%20Nooteboom&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Chan Koonchung,0,,https://westerncape.overdrive.com/search?query=Chan%20Koonchung&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Charlotte Wood,0,,https://westerncape.overdrive.com/search?query=Charlotte%20Wood&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
DBC Pierre,0,,https://westerncape.overdrive.com/search?query=DBC%20Pierre&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Delphine de Vigan,0,,https://westerncape.overdrive.com/search?query=Delphine%20de%20Vigan&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Derek Walcott,0,,https://westerncape.overdrive.com/search?query=Derek%20Walcott&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Edna O'Brien,0,,https://westerncape.overdrive.com/search?query=Edna%20O%27Brien&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Elif Batuman,0,,https://westerncape.overdrive.com/search?query=Elif%20Batuman&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Ewald Arenz,0,,https://westerncape.overdrive.com/search?query=Ewald%20Arenz&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Fatima Bhutto,0,,https://westerncape.overdrive.com/search?query=Fatima%20Bhutto&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Fyodor Dostoyevsky,0,,https://westerncape.overdrive.com/search?query=Fyodor%20Dostoyevsky&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Graeme Macrae Burnet,0,,https://westerncape.overdrive.com/search?query=Graeme%20Macrae%20Burnet&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Helen Garner,0,,https://westerncape.overdrive.com/search?query=Helen%20Garner&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Héctor Abad,0,,https://westerncape.overdrive.com/search?query=H%C3%A9ctor%20Abad&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Jackie Kay,0,,https://westerncape.overdrive.com/search?query=Jackie%20Kay&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Jane Gardam,0,,https://westerncape.overdrive.com/search?query=Jane%20Gardam&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Jenny Erpenbeck,0,,https://westerncape.overdrive.com/search?query=Jenny%20Erpenbeck&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Joël Dicker,0,,https://westerncape.overdrive.com/search?query=Jo%C3%ABl%20Dicker&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Juan Gabriel Vasquez,0,,https://westerncape.overdrive.com/search?query=Juan%20Gabriel%20Vasquez&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Juhea Kim,0,,https://westerncape.overdrive.com/search?query=Juhea%20Kim&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Junot Diaz,0,,https://westerncape.overdrive.com/search?query=Junot%20Diaz&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Karl Ove Knausgaard,0,,https://westerncape.overdrive.com/search?query=Karl%20Ove%20Knausgaard&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Laura Restrepo,0,,https://westerncape.overdrive.com/search?query=Laura%20Restrepo&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Leila Aboulela,0,,https://westerncape.overdrive.com/search?query=Leila%20Aboulela&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Leïla Slimani,0,,https://westerncape.overdrive.com/search?query=Le%C3%AFla%20Slimani&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Lijia Zhang,0,,https://westerncape.overdrive.com/search?query=Lijia%20Zhang&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Manu Joseph,0,,https://westerncape.overdrive.com/search?query=Manu%20Joseph&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Margaret Drabble,0,,https://westerncape.overdrive.com/search?query=Margaret%20Drabble&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Marie Darrieussecq,0,,https://westerncape.overdrive.com/search?query=Marie%20Darrieussecq&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Maylis De Kerangal,0,,https://westerncape.overdrive.com/search?query=Maylis%20De%20Kerangal&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Meg Rosoff,0,,https://westerncape.overdrive.com/search?query=Meg%20Rosoff&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Michael Chabon,0,,https://westerncape.overdrive.com/search?query=Michael%20Chabon&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Michelle de Kretser,0,,https://westerncape.overdrive.com/search?query=Michelle%20de%20Kretser&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
N.K Jemisin,0,,https://westerncape.overdrive.com/search?query=N.K%20Jemisin&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Ngũgĩ wa Thiong'o,0,,https://westerncape.overdrive.com/search?query=Ng%C5%A9g%C4%A9%20wa%20Thiong%27o&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
NoViolet Bulawayo,0,,https://westerncape.overdrive.com/search?query=NoViolet%20Bulawayo&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Nuruddin Farah,0,,https://westerncape.overdrive.com/search?query=Nuruddin%20Farah&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Paul Auster,0,,https://westerncape.overdrive.com/search?query=Paul%20Auster&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Petina Gappah,0,,https://westerncape.overdrive.com/search?query=Petina%20Gappah&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Pilar Quintana,0,,https://westerncape.overdrive.com/search?query=Pilar%20Quintana&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Robert Seethaler,0,,https://westerncape.overdrive.com/search?query=Robert%20Seethaler&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Shehan Karunatilaka,0,,https://westerncape.overdrive.com/search?query=Shehan%20Karunatilaka&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Silvia Moreno-Garcia,0,,https://westerncape.overdrive.com/search?query=Silvia%20Moreno-Garcia&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Siri Hustvedt,0,,https://westerncape.overdrive.com/search?query=Siri%20Hustvedt&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Sjón,0,,https://westerncape.overdrive.com/search?query=Sj%C3%B3n&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Sofi Oksanen,0,,https://westerncape.overdrive.com/search?query=Sofi%20Oksanen&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Sunjeev Sahota,0,,https://westerncape.overdrive.com/search?query=Sunjeev%20Sahota&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Tahmima Anam,0,,https://westerncape.overdrive.com/search?query=Tahmima%20Anam&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Tan Twan Eng,0,,https://westerncape.overdrive.com/search?query=Tan%20Twan%20Eng&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Tim Winton,0,,https://westerncape.overdrive.com/search?query=Tim%20Winton&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Tsitsi Dangarembga,0,,https://westerncape.overdrive.com/search?query=Tsitsi%20Dangarembga&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Wole Soyinka,0,,https://westerncape.overdrive.com/search?query=Wole%20Soyinka&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Xiaolu Guo,0,,https://westerncape.overdrive.com/search?query=Xiaolu%20Guo&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
